cinema_id,movie_id,booking_link
34,3407,https://ksa.voxcinemas.com/showtimes?c=riyadh-park-riyadh&m=morbius
34,3396,https://ksa.voxcinemas.com/showtimes?c=riyadh-park-riyadh&m=random-act-of-violence
34,3398,https://ksa.voxcinemas.com/showtimes?c=riyadh-park-riyadh&m=room-203
34,3394,https://ksa.voxcinemas.com/showtimes?c=riyadh-park-riyadh&m=shark-bait
34,3391,https://ksa.voxcinemas.com/showtimes?c=riyadh-park-riyadh&m=sonic-the-hedgehog-2
34,3409,https://ksa.voxcinemas.com/showtimes?c=riyadh-park-riyadh&m=the-batman
34,3404,https://ksa.voxcinemas.com/showtimes?c=riyadh-park-riyadh&m=the-cellar
34,3386,https://ksa.voxcinemas.com/showtimes?c=riyadh-park-riyadh&m=the-last-victim
34,3384,https://ksa.voxcinemas.com/showtimes?c=riyadh-park-riyadh&m=the-northman
34,3389,https://ksa.voxcinemas.com/showtimes?c=riyadh-park-riyadh&m=top-gun-maverick
34,3399,https://ksa.voxcinemas.com/showtimes?c=riyadh-park-riyadh&m=vendetta
34,3383,https://ksa.voxcinemas.com/showtimes?c=riyadh-park-riyadh&m=wahed-tany-arabic
34,3390,https://ksa.voxcinemas.com/showtimes?c=riyadh-park-riyadh&m=zombie-ala-janbi-arabic
35,3392,https://ksa.voxcinemas.com/showtimes?c=sahara-mall-riyadh&m=black-site
35,3395,https://ksa.voxcinemas.com/showtimes?c=sahara-mall-riyadh&m=el-ankaboot-arabic
35,3400,https://ksa.voxcinemas.com/showtimes?c=sahara-mall-riyadh&m=fantastic-beasts-the-secrets-of-dumbledore
35,3388,https://ksa.voxcinemas.com/showtimes?c=sahara-mall-riyadh&m=jujutsu-kaisen-0-the-movie-japanese
35,3393,https://ksa.voxcinemas.com/showtimes?c=sahara-mall-riyadh&m=memory
35,3396,https://ksa.voxcinemas.com/showtimes?c=sahara-mall-riyadh&m=random-act-of-violence
35,3398,https://ksa.voxcinemas.com/showtimes?c=sahara-mall-riyadh&m=room-203
35,3394,https://ksa.voxcinemas.com/showtimes?c=sahara-mall-riyadh&m=shark-bait
35,3391,https://ksa.voxcinemas.com/showtimes?c=sahara-mall-riyadh&m=sonic-the-hedgehog-2
35,3384,https://ksa.voxcinemas.com/showtimes?c=sahara-mall-riyadh&m=the-northman
35,3387,https://ksa.voxcinemas.com/showtimes?c=sahara-mall-riyadh&m=the-twin
35,3389,https://ksa.voxcinemas.com/showtimes?c=sahara-mall-riyadh&m=top-gun-maverick
35,3399,https://ksa.voxcinemas.com/showtimes?c=sahara-mall-riyadh&m=vendetta
35,3390,https://ksa.voxcinemas.com/showtimes?c=sahara-mall-riyadh&m=zombie-ala-janbi-arabic
37,3392,https://ksa.voxcinemas.com/showtimes?c=the-esplanade-riyadh&m=black-site
37,3395,https://ksa.voxcinemas.com/showtimes?c=the-esplanade-riyadh&m=el-ankaboot-arabic
37,3400,https://ksa.voxcinemas.com/showtimes?c=the-esplanade-riyadh&m=fantastic-beasts-the-secrets-of-dumbledore
37,3388,https://ksa.voxcinemas.com/showtimes?c=the-esplanade-riyadh&m=jujutsu-kaisen-0-the-movie-japanese
37,3393,https://ksa.voxcinemas.com/showtimes?c=the-esplanade-riyadh&m=memory
37,3396,https://ksa.voxcinemas.com/showtimes?c=the-esplanade-riyadh&m=random-act-of-violence
37,3398,https://ksa.voxcinemas.com/showtimes?c=the-esplanade-riyadh&m=room-203
37,3391,https://ksa.voxcinemas.com/showtimes?c=the-esplanade-riyadh&m=sonic-the-hedgehog-2
37,3384,https://ksa.voxcinemas.com/showtimes?c=the-esplanade-riyadh&m=the-northman
37,3389,https://ksa.voxcinemas.com/showtimes?c=the-esplanade-riyadh&m=top-gun-maverick
37,3399,https://ksa.voxcinemas.com/showtimes?c=the-esplanade-riyadh&m=vendetta
37,3383,https://ksa.voxcinemas.com/showtimes?c=the-esplanade-riyadh&m=wahed-tany-arabic
37,3390,https://ksa.voxcinemas.com/showtimes?c=the-esplanade-riyadh&m=zombie-ala-janbi-arabic
38,3392,https://ksa.voxcinemas.com/showtimes?c=the-roof-riyadh&m=black-site
38,3395,https://ksa.voxcinemas.com/showtimes?c=the-roof-riyadh&m=el-ankaboot-arabic
38,3400,https://ksa.voxcinemas.com/showtimes?c=the-roof-riyadh&m=fantastic-beasts-the-secrets-of-dumbledore
38,3388,https://ksa.voxcinemas.com/showtimes?c=the-roof-riyadh&m=jujutsu-kaisen-0-the-movie-japanese
38,3393,https://ksa.voxcinemas.com/showtimes?c=the-roof-riyadh&m=memory
38,3398,https://ksa.voxcinemas.com/showtimes?c=the-roof-riyadh&m=room-203
38,3394,https://ksa.voxcinemas.com/showtimes?c=the-roof-riyadh&m=shark-bait
38,3391,https://ksa.voxcinemas.com/showtimes?c=the-roof-riyadh&m=sonic-the-hedgehog-2
38,3384,https://ksa.voxcinemas.com/showtimes?c=the-roof-riyadh&m=the-northman
38,3389,https://ksa.voxcinemas.com/showtimes?c=the-roof-riyadh&m=top-gun-maverick
38,3399,https://ksa.voxcinemas.com/showtimes?c=the-roof-riyadh&m=vendetta
38,3383,https://ksa.voxcinemas.com/showtimes?c=the-roof-riyadh&m=wahed-tany-arabic
38,3390,https://ksa.voxcinemas.com/showtimes?c=the-roof-riyadh&m=zombie-ala-janbi-arabic
39,3392,"https://ksa.voxcinemas.com/showtimes?c=the-spot,-sheikh-jaber-riyadh&m=black-site"
39,3395,"https://ksa.voxcinemas.com/showtimes?c=the-spot,-sheikh-jaber-riyadh&m=el-ankaboot-arabic"
39,3388,"https://ksa.voxcinemas.com/showtimes?c=the-spot,-sheikh-jaber-riyadh&m=jujutsu-kaisen-0-the-movie-japanese"
39,3393,"https://ksa.voxcinemas.com/showtimes?c=the-spot,-sheikh-jaber-riyadh&m=memory"
39,3396,"https://ksa.voxcinemas.com/showtimes?c=the-spot,-sheikh-jaber-riyadh&m=random-act-of-violence"
39,3398,"https://ksa.voxcinemas.com/showtimes?c=the-spot,-sheikh-jaber-riyadh&m=room-203"
39,3394,"https://ksa.voxcinemas.com/showtimes?c=the-spot,-sheikh-jaber-riyadh&m=shark-bait"
39,3391,"https://ksa.voxcinemas.com/showtimes?c=the-spot,-sheikh-jaber-riyadh&m=sonic-the-hedgehog-2"
39,3384,"https://ksa.voxcinemas.com/showtimes?c=the-spot,-sheikh-jaber-riyadh&m=the-northman"
39,3389,"https://ksa.voxcinemas.com/showtimes?c=the-spot,-sheikh-jaber-riyadh&m=top-gun-maverick"
39,3399,"https://ksa.voxcinemas.com/showtimes?c=the-spot,-sheikh-jaber-riyadh&m=vendetta"
39,3383,"https://ksa.voxcinemas.com/showtimes?c=the-spot,-sheikh-jaber-riyadh&m=wahed-tany-arabic"
43,3392,https://www.amccinemas.com/movies/Black-Site-
43,3395,https://www.amccinemas.com/movies/Al-Ankaboot
43,3414,https://www.amccinemas.com/movies/Harry-Potter--The-Chamber-Of-Secrets-
43,3388,https://www.amccinemas.com/movies/Jujutsu-Kaisen-0-The-Movie
43,3393,https://www.amccinemas.com/movies/Memory
43,3398,https://www.amccinemas.com/movies/Room-203-
43,3384,https://www.amccinemas.com/movies/The-Northman
43,3389,https://www.amccinemas.com/movies/Top-Gun-Maverick
43,3383,https://www.amccinemas.com/movies/Wahid-Tany
44,3392,https://www.amccinemas.com/movies/Black-Site-
44,3414,https://www.amccinemas.com/movies/Harry-Potter--The-Chamber-Of-Secrets-
44,3388,https://www.amccinemas.com/movies/Jujutsu-Kaisen-0-The-Movie
44,3393,https://www.amccinemas.com/movies/Memory
44,3384,https://www.amccinemas.com/movies/The-Northman
44,3389,https://www.amccinemas.com/movies/Top-Gun-Maverick
7,3392,https://www.muvicinemas.com/en/movies/Black-Site
7,3395,https://www.muvicinemas.com/en/movies/Al-Ankaboot
7,3400,https://www.muvicinemas.com/en/movies/Fantastic-Beasts-The-Secrets-Of-Dumbledore
7,3385,https://www.muvicinemas.com/en/movies/Firestarter
7,3388,https://www.muvicinemas.com/en/movies/Jujutsu-Kaisen
7,3416,https://www.muvicinemas.com/en/movies/Jurassic-World-Dominion
7,3393,https://www.muvicinemas.com/en/movies/Memory
7,3384,https://www.muvicinemas.com/en/movies/The-Northman-Uni
7,3401,https://www.muvicinemas.com/en/movies/The-Unbearable-Weight-Of-Massive-Talent
7,3389,https://www.muvicinemas.com/en/movies/Top-Gun-Maverick
7,3383,https://www.muvicinemas.com/en/movies/Wahed-Taney
9,3392,https://www.muvicinemas.com/en/movies/Black-Site
9,3395,https://www.muvicinemas.com/en/movies/Al-Ankaboot
9,3400,https://www.muvicinemas.com/en/movies/Fantastic-Beasts-The-Secrets-Of-Dumbledore
9,3385,https://www.muvicinemas.com/en/movies/Firestarter
9,3388,https://www.muvicinemas.com/en/movies/Jujutsu-Kaisen
9,3416,https://www.muvicinemas.com/en/movies/Jurassic-World-Dominion
9,3393,https://www.muvicinemas.com/en/movies/Memory
9,3404,https://www.muvicinemas.com/en/movies/The-Cellar
9,3384,https://www.muvicinemas.com/en/movies/The-Northman-Uni
9,3401,https://www.muvicinemas.com/en/movies/The-Unbearable-Weight-Of-Massive-Talent
9,3389,https://www.muvicinemas.com/en/movies/Top-Gun-Maverick
9,3383,https://www.muvicinemas.com/en/movies/Wahed-Taney
9,3390,https://www.muvicinemas.com/en/movies/Zombie-Ala-Janbi
12,3392,https://www.muvicinemas.com/en/movies/Black-Site
12,3395,https://www.muvicinemas.com/en/movies/Al-Ankaboot
12,3385,https://www.muvicinemas.com/en/movies/Firestarter
12,3388,https://www.muvicinemas.com/en/movies/Jujutsu-Kaisen
12,3416,https://www.muvicinemas.com/en/movies/Jurassic-World-Dominion
12,3401,https://www.muvicinemas.com/en/movies/The-Unbearable-Weight-Of-Massive-Talent
12,3389,https://www.muvicinemas.com/en/movies/Top-Gun-Maverick
14,3392,https://www.muvicinemas.com/en/movies/Black-Site
14,3395,https://www.muvicinemas.com/en/movies/Al-Ankaboot
