movie_id,actor_id,role
102,462,Lou Perilli
102,463,Laura Martinez
102,464,Eddie Agopian
102,465,Mona Rowland-Downey
103,469,Tyler
103,380,Marcus
103,466,Jacqueline
103,467,Angela
103,468,Gerard
104,470,Woman in Blonde Wig
105,459,Mel Coplin
105,471,Nancy Coplin
105,472,Tina Kalb
105,473,Pearl Coplin
105,474,Ed Coplin
106,475,Bastian
106,476,Nicole
106,477,Slip
106,478,Mookie
106,479,Dog
107,370,Mom Dunlap
107,482,Alan Davenport
107,483,Ruby
107,480,Charlie Dunlap
107,481,Amy
108,484,Angela
108,485,Ellie
108,486,Mae
108,487,Andrew
108,488,Sleepwalker
109,491,Handy Paige
109,195,Terry Klout
109,489,Bernadette
109,218,Jack Kelly
109,490,Frank Bois
110,494,Bob Hargrove
110,493,Governor Edwards
110,408,Trina Gavin
110,492,David Corelli
110,219,Matt Gavin
111,498,Admiral Graham
111,495,Tom Dodge
111,386,Emily
111,496,Marty Pascal
111,497,Howard
112,500,Marcia McGrath
112,501,Bucky Terranova
112,499,Warren Justice
112,137,Tally Atwater
112,443,Joanna Kennelly
113,504,Val Goldman
113,503,Louise Keeley
113,502,Albert
113,6,Armand Goldman
113,97,Senator Keeley
114,505,Jack McMullen
114,506,Patrick McMullen
114,507,Barry
114,508,Susan
114,509,Audrey
115,512,Carjacker
115,511,Girl Decoy
115,513,Eddie Dominguez
115,510,Mike Lowrey
115,469,Marcus Burnett
116,514,Michael Tyler
116,515,Ryan Tyler
116,516,Ling
116,517,Chu
116,518,Po
117,519,Jim Carroll
117,520,Jims Mother
117,521,Chanting Woman
117,522,Pedro
117,523,Neutron
118,528,Bunny
118,526,Stella
118,527,Uncle Vernon
118,524,Meredith Potter
118,525,P.L. OHara
119,529,Isabelle
119,530,Thomas Ludens
119,531,Sofia Ludens
120,1,Jim Lovell
120,532,Fred Haise
120,61,Jack Swigert
120,533,Ken Mattingly
120,68,Gene Kranz
121,301,McDonald
121,535,Montrose
121,82,Cunningham
121,438,Rob Roy
121,534,Mary
122,536,Kathleen Conklin
122,334,Peina
122,537,Casanova
122,538,Jean
122,539,Professor
123,28,Batman
123,540,Harvey Two-Face
123,87,Riddler
123,194,Dr. Chase Meridian
123,541,Robin
124,546,Marcel
124,544,Henri Husson
124,545,Madame Anais
124,542,Séverine Serizy
124,543,Pierre Sérizy
125,290,Auggie Wren
125,547,Man with Strange Glasses
125,54,Pete Maloney
125,548,Dot
125,549,Violet
126,553,Stu Smiley
126,552,Honey
126,554,General Dick Panzer
126,550,Sheriff Bud Boomer
126,551,President of the United States
127,555,Dr. Harvey
127,120,Kat
127,556,Carrigan
127,557,Dibs
127,230,Nicky
128,290,Rocco Klein
128,558,Larry Mazilli
128,388,Rodney
128,559,Strike
128,560,Victor
129,563,Captain Monroe Kelly
129,562,Dr. Peter Elliot
129,564,Richard
129,561,Dr. Karen Ross
129,420,Herkermer Homolka
130,97,Ramsey
130,565,Hunter
130,566,Zimmer
130,138,Cob
130,567,Weps
2400,5824,
131,83,El Mariachi
131,568,Carolina
131,569,Bucho
131,570,Short Bartender
131,571,Buscemi
132,72,Matthew Terell
132,573,Mouse Alexander
132,572,Daphne Monet
132,565,Easy Rawlins
132,30,Dewitt Albright
133,142,John McClane
133,574,Simon
133,575,Zeus
133,576,Joe Lambert
133,577,Connie Kowalski
134,578,Jordan White
134,579,Amy Blue
134,580,Xavier Red
134,581,Peanut
134,582,Gang of Goons
135,585,Prince Malagant
135,586,Agravaine
135,584,Lancelot
135,583,King Arthur
135,32,Guinevere
136,475,Jesse
136,587,Glenn
136,588,Elvis
136,589,Nadine
136,590,Randolph
137,591,Dade
137,592,Kate
137,593,Joey
137,594,Cereal
137,595,Nikon
138,599,Man #3
138,597,Man #1
138,598,Man #2
138,59,Jeffrey
138,596,Steve Howard
139,600,Johnny Mnemonic
139,601,Street Preacher
139,602,Jane
139,603,J-Bone
139,604,Takahashi
140,107,Judge Dredd
140,605,Rico
140,496,Fergie
140,606,Judge Griffin
140,607,Judge Fargo
141,611,Judge Powell
141,610,Harry
141,272,Tommy Collins
141,608,Monica
141,609,Frank
142,612,Telly
142,613,Casper
142,614,Jennie
142,615,Girl #1
142,616,Deli Owner
143,618,Wanda
143,104,Wolf
143,619,Chad Palomino
143,571,Nick Reve
143,617,Nicole Springer
144,620,Harry DAmour
144,621,Philip Swann
144,622,Young Butterfield
144,623,Nix
144,624,Caspar Quaid
145,629,Jerri
145,625,David
145,626,Candy
145,627,Bernie
145,628,Benita
146,632,Coach
146,631,Duncan
146,594,Eric
146,630,Casey Roberts
146,541,Matt Leland
147,633,Rene
147,634,TS Quint
147,635,Brodie
147,636,Brandi
147,637,Shannon
