,movie_id,language_id
3051,1992,30
3052,1993,34
3053,1993,30
3054,1994,49
3055,1994,91
3056,1994,30
3057,1995,30
3058,1996,30
3059,1996,83
3060,1997,30
3061,1998,30
3062,1999,30
3063,2000,30
3064,2001,30
3065,2002,30
3066,2003,30
3067,2004,91
3068,2004,30
3069,2004,55
3070,2005,30
3071,2005,38
3072,2005,34
3073,2005,76
3074,2006,30
3075,2007,30
3076,2008,30
3077,2009,30
3078,2009,91
3079,2010,30
3080,2011,97
3081,2011,30
3082,2012,30
3083,2013,30
3084,2014,30
3085,2014,39
3086,2015,30
3087,2016,30
3088,2017,5
3089,2017,30
3090,2018,30
3091,2019,30
3092,2020,30
3093,2020,55
3094,2021,30
3095,2022,30
3096,2023,30
3097,2024,30
3098,2025,30
3099,2026,30
3100,2027,30
3101,2028,38
3102,2028,30
3103,2028,34
3104,2029,49
3105,2029,30
3106,2029,34
3107,2029,38
3108,2030,30
3109,2031,30
3110,2032,30
3111,2032,91
3112,2033,30
3113,2034,30
3114,2035,30
3115,2036,30
3116,2036,34
3117,2037,91
3118,2037,30
3119,2038,30
3120,2039,30
3121,2040,30
3122,2041,30
3123,2042,30
3124,2043,30
3125,2044,30
3126,2045,50
3127,2046,30
3128,2047,30
3129,2048,30
3130,2048,83
3131,2049,30
3132,2049,34
3133,2050,30
3134,2051,27
3135,2051,55
3136,2051,69
3137,2051,8
3138,2051,72
3139,2051,93
3140,2051,30
3141,2052,30
3142,2053,30
3143,2054,30
3144,2055,30
3145,2056,30
3146,2057,9
3147,2057,11
3148,2057,78
3149,2057,30
3150,2057,49
3151,2058,30
3152,2058,52
3153,2058,91
3154,2059,17
3155,2059,85
3156,2059,82
3157,2060,30
3158,2061,30
3159,2061,50
3160,2062,91
3161,2062,30
3162,2063,30
3163,2064,30
3164,2065,30
3165,2066,55
3166,2066,30
3167,2067,30
3168,2068,30
3169,2069,30
3170,2070,30
3171,2071,91
3172,2071,30
3173,2072,30
3174,2073,30
3175,2074,38
3176,2074,30
3177,2074,34
3178,2075,30
3179,2076,30
3180,2077,30
3181,2078,30
3182,2079,30
3183,2080,30
3184,2081,30
3185,2082,30
3186,2083,30
3187,2084,30
3188,2085,30
3189,2086,30
3190,2087,18
3191,2088,30
3192,2088,18
3193,2089,30
3194,2090,30
3195,2091,30
3196,2092,30
3197,2093,30
3198,2094,30
3199,2095,8
3200,2095,30
3201,2096,30
3202,2097,30
3203,2098,30
3204,2098,34
3205,2099,30
3206,2100,30
3207,2101,30
3208,2102,30
3209,2103,30
3210,2104,30
3211,2105,30
3212,2106,50
3213,2107,30
3214,2108,30
3215,2109,30
3216,2110,30
3217,2111,30
3218,2111,38
3219,2112,30
3220,2113,30
3221,2114,30
3222,2114,38
3223,2115,30
3224,2115,46
3225,2115,32
3226,2115,95
3227,2116,34
3228,2117,30
3229,2118,30
3230,2119,18
3231,2119,61
3232,2120,49
3233,2120,34
3234,2120,21
3235,2120,55
3236,2121,30
3237,2122,30
3238,2122,34
3239,2123,30
3240,2124,38
3241,2124,30
3242,2124,49
3243,2124,34
3244,2124,33
3245,2124,83
3246,2125,30
3247,2125,49
3248,2126,30
3249,2127,30
3250,2128,30
3251,2129,30
3252,2130,30
3253,2130,91
3254,2130,38
3255,2130,34
3256,2131,30
3257,2131,34
3258,2132,30
3259,2133,34
3260,2133,104
3261,2134,91
3262,2134,34
3263,2134,55
3264,2134,30
3265,2134,38
3266,2135,30
3267,2136,30
3268,2137,21
3269,2137,30
3270,2137,91
3271,2138,100
3272,2138,83
3273,2138,30
